,date,DOHOL,THYAO
408,2020-01-10 11:52:07.117000060,-1.0,0.0
409,2020-01-10 11:52:13.194000060,1.0,0.0
410,2020-01-10 11:52:18.495000060,-1.0,1.0
411,2020-01-10 11:52:31.175000140,1.0,1.0
412,2020-01-10 11:53:17.997000080,-1.0,-1.0
413,2020-01-10 12:55:04.227000020,1.0,1.0
414,2020-01-10 15:23:36.064000050,1.0,1.0
415,2020-01-10 15:27:04.766000040,1.0,1.0
416,2020-01-10 15:27:07.181000020,-1.0,-1.0
417,2020-01-10 16:11:42.117000010,-1.0,0.0
418,2020-01-10 16:11:44.238000010,1.0,0.0
419,2020-01-10 16:11:44.745000050,-1.0,0.0
420,2020-01-10 16:11:44.844000010,1.0,0.0
421,2020-01-10 16:11:46.778000050,-1.0,1.0
422,2020-01-10 16:11:50.082000010,1.0,-1.0
423,2020-01-10 16:44:58.339000030,-1.0,-1.0
424,2020-01-10 16:46:32.163000100,1.0,1.0
425,2020-01-10 16:47:11.267000020,-1.0,0.0
426,2020-01-10 16:47:14.109000050,1.0,1.0
427,2020-01-10 16:53:32.769000080,1.0,-1.0
428,2020-01-10 16:53:51.537000020,1.0,1.0
429,2020-01-10 17:50:57.406000010,1.0,-1.0
430,2020-01-10 17:54:51.554000010,1.0,0.0
431,2020-01-10 17:54:52.980000040,-1.0,0.0
432,2020-01-10 17:54:55.014000010,1.0,-1.0
433,2020-01-10 17:59:28.429000040,-1.0,-1.0
434,2020-01-10 17:59:42.453000010,1.0,1.0
435,2020-01-10 18:08:00.444000400,-1.0,0.0
436,2020-01-13 10:25:00.072000080,1.0,0.0
437,2020-01-13 10:25:13.979000010,-1.0,-1.0
438,2020-01-13 11:02:40.443000010,1.0,1.0
439,2020-01-13 11:09:21.600000090,1.0,-1.0
440,2020-01-13 11:09:49.227000020,-1.0,-1.0
441,2020-01-13 11:11:09.938000020,1.0,-1.0
442,2020-01-13 11:11:42.632000070,1.0,1.0
443,2020-01-13 11:11:50.135000060,-1.0,0.0
444,2020-01-13 11:11:52.873000030,1.0,-1.0
445,2020-01-13 11:16:59.992000030,-1.0,0.0
446,2020-01-13 11:17:04.934000030,1.0,1.0
447,2020-01-13 11:48:04.674000060,-1.0,-1.0
448,2020-01-13 12:05:36.132000020,-1.0,1.0
449,2020-01-13 12:24:59.077000010,1.0,1.0
450,2020-01-13 12:25:31.753000010,-1.0,-1.0
451,2020-01-13 12:26:15.925000070,1.0,1.0
452,2020-01-13 12:27:11.005000020,-1.0,0.0
453,2020-01-13 12:27:24.981000030,1.0,-1.0
454,2020-01-13 14:01:41.261000020,1.0,1.0
455,2020-01-13 14:49:41.965000080,1.0,-1.0
456,2020-01-13 14:51:48.694000020,1.0,-1.0
457,2020-01-13 14:54:11.570000020,-1.0,0.0
458,2020-01-13 14:54:11.772000040,1.0,1.0
459,2020-01-13 14:54:34.006000020,-1.0,0.0
460,2020-01-13 14:54:47.728000050,1.0,-1.0
461,2020-01-13 14:58:57.845000020,-1.0,0.0
462,2020-01-13 14:59:13.223000060,1.0,0.0
463,2020-01-13 14:59:14.439000170,-1.0,0.0
464,2020-01-13 14:59:14.589000040,1.0,1.0
