date,DOHOL,THYAO
2020-01-09 10:43:13.477000050,1,0
2020-01-09 10:43:13.484000020,1,0
2020-01-09 10:43:39.910000060,-1,0
2020-01-09 10:43:39.911000020,-1,-1
2020-01-09 11:04:13.073000030,1,-1
2020-01-09 11:04:20.880000070,-1,0
2020-01-09 11:04:32.554000030,1,-1
2020-01-09 11:05:06.012000010,-1,-1
2020-01-09 11:05:21.385000030,1,0
2020-01-09 11:05:22.184000020,-1,-1
2020-01-09 11:52:57.945000050,1,0
2020-01-09 11:52:57.946000020,1,-1
2020-01-09 11:54:58.285000050,1,0
2020-01-09 11:54:58.285000080,1,1
2020-01-09 11:56:06.533000010,1,0
2020-01-09 11:56:06.548000040,1,0
2020-01-09 11:56:49.359000110,1,1
2020-01-09 11:59:02.365000010,-1,-1
2020-01-09 11:59:43.494000060,1,1
2020-01-09 12:01:45.605000060,-1,0
2020-01-09 12:01:53.291000070,1,-1
2020-01-09 12:04:27.318000030,-1,0
2020-01-09 12:04:27.925000010,1,0
2020-01-09 12:04:32.062000040,-1,0
2020-01-09 12:04:36.002000030,-1,0
2020-01-09 12:04:37.820000030,1,1
2020-01-09 12:04:56.201000010,-1,0
2020-01-09 12:04:57.131000010,-1,0
2020-01-09 12:04:59.871000010,1,1
2020-01-09 12:32:07.281000010,-1,0
2020-01-09 12:32:07.305000020,-1,0
2020-01-09 12:33:07.018000020,1,0
2020-01-09 12:33:09.747000060,-1,0
2020-01-09 12:33:09.849000070,1,0
2020-01-09 12:33:36.240000090,-1,0
2020-01-09 12:33:38.116000020,1,-1
2020-01-09 12:50:54.642000010,1,0
2020-01-09 12:50:54.642000050,1,-1
2020-01-09 12:51:56.942000010,1,0
2020-01-09 12:51:56.942000050,1,1
2020-01-09 13:01:00.522000140,-1,0
2020-01-09 13:01:00.523000020,-1,-1
2020-01-09 13:05:45.426000050,1,1
2020-01-09 13:24:53.784000010,-1,0
2020-01-09 13:24:55.448000240,1,0
2020-01-09 13:25:11.871000020,-1,0
2020-01-09 13:25:11.879000020,-1,0
2020-01-09 13:25:12.584000010,1,0
2020-01-09 13:25:12.788000010,1,0
2020-01-09 13:25:13.392000050,-1,0
2020-01-09 13:25:13.393000020,-1,0
2020-01-09 13:25:21.180000020,1,1
2020-01-09 13:27:08.645000010,-1,0
2020-01-09 13:27:10.768000020,1,-1
2020-01-09 13:29:19.973000040,-1,0
2020-01-09 13:29:20.495000000,1,0
2020-01-09 13:30:09.677000090,-1,0
2020-01-09 13:30:24.428000020,-1,0
2020-01-09 13:30:26.035000010,1,0
2020-01-09 13:30:34.329000010,-1,0
2020-01-09 13:30:41.812000030,1,0
2020-01-09 13:30:43.441000000,-1,-1
2020-01-09 14:55:37.421000010,-1,0
2020-01-09 14:55:37.455000020,-1,-1
2020-01-09 14:56:42.440000030,1,1
2020-01-09 15:10:35.913000050,-1,-1
2020-01-09 16:11:00.483000010,1,-1
2020-01-09 17:58:26.626000010,1,-1
2020-01-10 10:00:07.682000060,1,0
2020-01-10 10:00:07.682000090,1,1
2020-01-10 10:02:12.656000060,1,0
2020-01-10 10:02:12.656000110,1,1
2020-01-10 10:03:10.196000180,-1,-1
2020-01-10 10:10:49.157000060,1,-1
2020-01-10 10:16:31.937000110,-1,-1
2020-01-10 10:28:22.073000050,-1,1
2020-01-10 10:30:00.409000150,1,1
2020-01-10 10:39:31.458000010,-1,0
2020-01-10 10:39:44.326000010,1,-1
2020-01-10 10:39:50.506000230,-1,1
2020-01-10 10:40:04.496000140,1,1
2020-01-10 10:49:27.480000040,-1,1
2020-01-10 10:55:05.868000030,-1,0
2020-01-10 10:55:05.968000010,-1,-1
2020-01-10 10:55:18.827000050,1,1
2020-01-10 11:20:30.604000350,1,0
2020-01-10 11:20:30.604000380,1,1
2020-01-10 11:28:26.503000010,-1,-1
2020-01-10 11:39:30.410000010,-1,0
2020-01-10 11:39:30.410000040,-1,1
2020-01-10 11:39:56.136000330,1,1
2020-01-10 11:39:59.704000030,-1,-1
2020-01-10 11:40:15.775000100,1,1
2020-01-10 11:42:37.479000010,-1,-1
2020-01-10 11:43:26.581000010,1,1
2020-01-10 11:45:38.344000020,1,1
2020-01-10 11:52:07.117000030,-1,0
2020-01-10 11:52:07.117000060,-1,0
2020-01-10 11:52:13.194000060,1,0
2020-01-10 11:52:18.495000060,-1,1
2020-01-10 11:52:31.175000140,1,1
2020-01-10 11:53:17.997000080,-1,-1
2020-01-10 12:55:04.220000020,1,0
2020-01-10 12:55:04.227000020,1,1
2020-01-10 15:23:36.064000020,1,0
2020-01-10 15:23:36.064000050,1,1
2020-01-10 15:27:04.766000040,1,1
2020-01-10 15:27:07.181000020,-1,-1
2020-01-10 16:11:42.117000010,-1,0
2020-01-10 16:11:44.238000010,1,0
2020-01-10 16:11:44.745000020,-1,0
2020-01-10 16:11:44.745000050,-1,0
2020-01-10 16:11:44.844000010,1,0
2020-01-10 16:11:46.778000050,-1,1
2020-01-10 16:11:50.082000010,1,-1
2020-01-10 16:44:58.339000030,-1,-1
2020-01-10 16:46:32.163000100,1,1
2020-01-10 16:47:11.267000020,-1,0
2020-01-10 16:47:14.109000050,1,1
2020-01-10 16:53:32.769000050,1,0
2020-01-10 16:53:32.769000080,1,-1
2020-01-10 16:53:51.466000150,1,0
2020-01-10 16:53:51.537000020,1,1
2020-01-10 17:50:57.406000010,1,-1
2020-01-10 17:54:51.554000010,1,0
2020-01-10 17:54:52.980000010,-1,0
2020-01-10 17:54:52.980000040,-1,0
2020-01-10 17:54:55.014000010,1,-1
2020-01-10 17:59:28.429000010,-1,0
2020-01-10 17:59:28.429000040,-1,-1
2020-01-10 17:59:42.453000010,1,1
2020-01-10 18:08:00.444000400,-1,0
2020-01-13 10:25:00.072000040,1,0
2020-01-13 10:25:00.072000080,1,0
2020-01-13 10:25:13.979000010,-1,-1
2020-01-13 11:02:40.443000010,1,1
2020-01-13 11:09:21.600000060,1,0
2020-01-13 11:09:21.600000090,1,-1
2020-01-13 11:09:49.227000020,-1,-1
2020-01-13 11:11:09.938000020,1,-1
2020-01-13 11:11:42.632000070,1,1
2020-01-13 11:11:50.135000060,-1,0
2020-01-13 11:11:52.548000020,1,0
2020-01-13 11:11:52.873000030,1,-1
2020-01-13 11:16:59.992000030,-1,0
2020-01-13 11:17:04.934000030,1,1
2020-01-13 11:48:04.674000060,-1,-1
2020-01-13 12:05:36.131000090,-1,0
2020-01-13 12:05:36.132000020,-1,1
2020-01-13 12:24:59.077000010,1,1
2020-01-13 12:25:31.753000010,-1,-1
2020-01-13 12:26:15.925000070,1,1
2020-01-13 12:27:11.005000020,-1,0
2020-01-13 12:27:24.981000030,1,-1
2020-01-13 14:01:41.255000010,1,0
2020-01-13 14:01:41.261000020,1,1
2020-01-13 14:49:41.965000040,1,0
2020-01-13 14:49:41.965000080,1,-1
2020-01-13 14:51:48.651000020,1,0
2020-01-13 14:51:48.694000020,1,-1
2020-01-13 14:54:11.538000020,-1,0
2020-01-13 14:54:11.570000020,-1,0
2020-01-13 14:54:11.772000040,1,1
2020-01-13 14:54:34.006000020,-1,0
2020-01-13 14:54:47.728000050,1,-1
2020-01-13 14:58:57.845000020,-1,0
2020-01-13 14:59:13.223000060,1,0
2020-01-13 14:59:14.439000140,-1,0
2020-01-13 14:59:14.439000170,-1,0
2020-01-13 14:59:14.589000040,1,1
2020-01-13 15:00:24.730000010,-1,-1
2020-01-13 15:10:25.942000010,-1,-1
2020-01-13 15:22:27.593000020,-1,0
2020-01-13 15:22:27.686000020,-1,-1
2020-01-13 15:27:26.177000010,1,1
2020-01-13 16:13:55.253000110,-1,0
2020-01-13 16:13:57.836000060,1,1
2020-01-13 16:43:17.646000010,-1,-1
2020-01-13 16:46:21.507000020,1,1
2020-01-14 10:00:15.640000230,1,0
2020-01-14 10:00:15.647000020,1,0
2020-01-14 10:00:19.303000100,-1,0
2020-01-14 10:00:19.303000130,-1,-1
2020-01-14 10:03:21.010000060,-1,-1
2020-01-14 10:08:04.458000040,1,1
2020-01-14 10:32:31.140000030,-1,1
2020-01-14 10:48:37.456000090,-1,-1
2020-01-14 10:49:21.109000010,-1,0
2020-01-14 10:49:21.109000040,-1,-1
2020-01-14 10:50:05.461000090,-1,0
2020-01-14 10:50:05.462000030,-1,0
2020-01-14 10:50:15.694000060,1,-1
2020-01-14 10:50:26.967000160,-1,1
2020-01-14 10:51:35.124000040,-1,0
2020-01-14 10:51:35.125000020,-1,-1
2020-01-14 10:52:16.209000020,1,-1
2020-01-14 10:56:23.354000060,-1,1
2020-01-14 10:58:39.525000020,1,0
2020-01-14 11:00:26.163000040,1,-1
2020-01-14 11:05:19.646000090,-1,-1
2020-01-14 12:00:51.998000020,1,0
2020-01-14 12:00:51.998000050,1,1
2020-01-14 12:15:47.901000010,1,1
2020-01-14 12:52:42.550000110,1,1
2020-01-14 12:53:24.366000080,1,-1
2020-01-14 12:53:45.275000040,-1,-1
2020-01-14 13:05:04.683000010,1,-1
2020-01-14 13:07:42.917000010,-1,1
2020-01-14 13:37:19.289000110,-1,0
2020-01-14 13:37:19.315000020,-1,-1
2020-01-14 13:38:34.818000010,1,0
2020-01-14 13:38:34.828000020,1,1
2020-01-14 14:26:36.276000010,-1,-1
2020-01-14 14:26:56.595000020,1,1
2020-01-14 14:36:10.393000020,1,0
2020-01-14 14:36:28.678000020,1,1
