,date,AKBNK,ARCLK
302,2020-01-02 11:54:58.084000180,-1.0,0.0
303,2020-01-02 11:55:07.374000120,1.0,0.0
304,2020-01-02 11:55:16.848000200,-1.0,0.0
305,2020-01-02 11:55:33.804000270,-1.0,0.0
306,2020-01-02 11:55:42.870000120,1.0,0.0
307,2020-01-02 11:55:42.870000150,1.0,0.0
308,2020-01-02 11:55:44.283000210,-1.0,0.0
309,2020-01-02 11:55:45.497000300,-1.0,-1.0
310,2020-01-02 12:03:08.390000220,1.0,0.0
311,2020-01-02 12:03:08.894000190,-1.0,1.0
312,2020-01-02 12:06:57.966000230,1.0,0.0
313,2020-01-02 12:06:59.582000330,-1.0,0.0
314,2020-01-02 12:06:59.683000230,1.0,-1.0
315,2020-01-02 12:07:17.324000110,-1.0,0.0
316,2020-01-02 12:07:17.828000180,1.0,1.0
317,2020-01-02 12:07:36.612000140,-1.0,0.0
318,2020-01-02 12:07:36.612000170,-1.0,-1.0
319,2020-01-02 12:21:05.761000110,-1.0,1.0
320,2020-01-02 12:21:21.374000150,1.0,-1.0
321,2020-01-02 12:23:39.043000210,-1.0,1.0
322,2020-01-02 12:29:20.533000020,1.0,1.0
323,2020-01-02 12:30:48.653000100,-1.0,1.0
324,2020-01-02 12:54:18.906000240,-1.0,0.0
325,2020-01-02 12:54:18.906000270,-1.0,1.0
326,2020-01-02 12:59:05.611000170,1.0,0.0
327,2020-01-02 12:59:05.611000210,1.0,1.0
328,2020-01-02 12:59:30.838000200,-1.0,0.0
329,2020-01-02 12:59:31.445000210,1.0,0.0
330,2020-01-02 12:59:31.850000200,-1.0,1.0
331,2020-01-02 12:59:40.125000130,-1.0,0.0
332,2020-01-02 12:59:41.033000200,1.0,0.0
333,2020-01-02 12:59:58.153000000,-1.0,0.0
334,2020-01-02 12:59:59.264000010,1.0,0.0
335,2020-01-02 13:00:02.389000270,-1.0,0.0
336,2020-01-02 13:00:03.803000200,1.0,0.0
337,2020-01-02 13:00:10.663000000,-1.0,0.0
338,2020-01-02 13:00:11.973000010,1.0,0.0
339,2020-01-02 13:00:17.348000170,-1.0,0.0
340,2020-01-02 13:00:19.674000220,1.0,0.0
341,2020-01-02 13:00:28.646000190,-1.0,0.0
342,2020-01-02 13:00:31.580000220,1.0,0.0
343,2020-01-02 13:00:34.005000080,-1.0,0.0
344,2020-01-02 13:00:39.549000250,1.0,0.0
345,2020-01-02 13:00:41.670000230,-1.0,0.0
346,2020-01-02 13:00:49.831000200,1.0,0.0
347,2020-01-02 13:00:56.387000250,-1.0,-1.0
348,2020-01-02 13:16:08.512000130,1.0,0.0
349,2020-01-02 13:16:08.512000160,1.0,1.0
350,2020-01-02 13:23:22.883000300,-1.0,-1.0
351,2020-01-02 13:26:39.300000200,-1.0,0.0
352,2020-01-02 13:26:42.320000000,-1.0,-1.0
353,2020-01-02 13:28:31.367000060,1.0,0.0
354,2020-01-02 13:28:33.184000280,-1.0,0.0
355,2020-01-02 13:28:35.198000010,-1.0,1.0
356,2020-01-02 13:31:20.512000220,1.0,0.0
357,2020-01-02 13:31:23.234000160,-1.0,0.0
358,2020-01-02 13:31:32.103000170,1.0,0.0
359,2020-01-02 13:31:33.614000210,-1.0,0.0
360,2020-01-02 13:31:34.018000000,1.0,0.0
361,2020-01-02 13:31:35.228000010,-1.0,0.0
362,2020-01-02 13:31:49.434000110,1.0,0.0
363,2020-01-02 13:31:51.553000110,-1.0,0.0
364,2020-01-02 13:32:21.561000100,1.0,0.0
365,2020-01-02 13:32:22.367000160,-1.0,0.0
366,2020-01-02 13:32:24.281000000,1.0,0.0
367,2020-01-02 13:32:24.683000030,-1.0,0.0
368,2020-01-02 13:32:30.937000160,1.0,0.0
369,2020-01-02 13:32:31.848000250,-1.0,0.0
370,2020-01-02 13:32:46.753000180,1.0,0.0
371,2020-01-02 13:32:48.135000070,-1.0,0.0
372,2020-01-02 13:32:49.074000050,1.0,0.0
373,2020-01-02 13:32:50.486000190,-1.0,0.0
374,2020-01-02 13:33:07.999000200,1.0,0.0
375,2020-01-02 13:33:10.314000180,1.0,0.0
376,2020-01-02 13:33:10.920000170,-1.0,0.0
377,2020-01-02 13:33:12.028000080,1.0,0.0
378,2020-01-02 13:33:12.633000110,-1.0,0.0
379,2020-01-02 13:33:26.019000100,1.0,0.0
380,2020-01-02 13:33:31.555000200,-1.0,1.0
381,2020-01-02 13:34:06.578000140,-1.0,0.0
382,2020-01-02 13:34:10.603000140,1.0,0.0
383,2020-01-02 13:34:14.731000170,1.0,0.0
384,2020-01-02 13:34:15.739000220,-1.0,-1.0
385,2020-01-02 13:34:32.373000190,1.0,0.0
386,2020-01-02 13:34:38.410000080,-1.0,0.0
387,2020-01-02 13:34:39.921000180,1.0,0.0
388,2020-01-02 13:34:40.726000130,-1.0,0.0
389,2020-01-02 13:34:49.880000150,-1.0,0.0
390,2020-01-02 13:36:27.579000070,1.0,0.0
391,2020-01-02 13:36:28.784000030,-1.0,0.0
392,2020-01-02 13:36:32.513000240,1.0,0.0
393,2020-01-02 13:36:34.126000150,-1.0,0.0
394,2020-01-02 13:36:35.737000100,1.0,0.0
395,2020-01-02 13:36:36.243000140,-1.0,0.0
396,2020-01-02 13:36:42.205000050,1.0,0.0
397,2020-01-02 13:36:43.114000210,-1.0,1.0
398,2020-01-02 13:37:16.578000220,-1.0,0.0
399,2020-01-02 13:37:38.551000070,1.0,0.0
400,2020-01-02 13:37:40.667000120,-1.0,0.0
401,2020-01-02 13:37:53.954000090,1.0,0.0
402,2020-01-02 13:37:55.361000100,-1.0,0.0
403,2020-01-02 13:38:12.676000040,1.0,0.0
404,2020-01-02 13:38:15.591000230,-1.0,0.0
405,2020-01-02 13:38:22.658000150,-1.0,0.0
406,2020-01-02 13:43:30.423000230,1.0,0.0
407,2020-01-02 13:43:31.129000090,-1.0,0.0
408,2020-01-02 13:43:31.934000000,1.0,-1.0
409,2020-01-02 13:43:37.197000190,-1.0,1.0
410,2020-01-02 13:43:57.761000160,1.0,0.0
411,2020-01-02 13:43:57.862000070,-1.0,1.0
412,2020-01-02 13:44:05.926000100,-1.0,0.0
413,2020-01-02 13:44:38.781000230,1.0,0.0
